,result,rationale,tweet_id,full_text,eval_time
0,0,"The user expresses enthusiasm about finding a mask that matches their personality, which does not indicate an anti-mask, pro-mask, or neutral attitude towards mask wearing.",1287456082777047045,"Finally a mask that fits my true personality!!!  #Darth Vader #Nerd @ Miami Heights, Ohio https://t.co/d3UNkKPvgo",0.6508653163909912
1,0,"The individual does not directly express a positive or negative attitude towards mask wearing, but rather criticizes those who argue for reopening schools without adhering to health guidelines such as masks, staying home, and social distancing.",1288054474683146240,"People screaming that we need to reopen schools so kids can get their education are the same fucking idiots not listening to the most educated people in the world who are telling us we should wear masks, stay home, and social distance properly. Like what’s the fucking point?",0.6886172294616699
2,3,"The tweet does not explicitly express a negative or positive attitude towards mask wearing, but it is associated with the hashtag #facemasks, suggesting at least some level of acknowledgement and potential support for mask usage during the pandemic",1288069171998265345,Rosie the Riveter going strong at 94🇺🇸 https://t.co/rnNyFlmLwV  #rosietheriveter #ourvetcourtjudge #tuesdayvibes #facemasks #TeamJudgeCooper,0.7043478488922119
3,1,"the individual anticipates that 'anti-mask' people will also refuse a potential vaccine, indicating a negative stance towards mask wearing and public health measures",1288251780741115909,So what happens when the vaccine comes? The anti-vaccine ppl didn’t disappear. Yet. The anti-mask ppl are going to jump on board too. Is this the thinning of the herd?,0.5492203235626221
4,1,"The user expresses a general disdain towards individuals who refuse to follow mask-wearing guidelines, suggesting they also exhibit anti-social behavior in other contexts.",1288285779408584704,"@Walsh_PT I was just saying to my wife that the anti-mask and anti-social distancing people have always existed.  They've been hiding in plain sight as people who don't turn on their headlights when it rains, people who pay by check at the grocery and people who recline airplane seats.",0.5893666744232178
5,0,"The tweet does not explicitly state or imply an opinion about mask-wearing, but rather discusses the idea that someone else should wear a mask. This could indicate neutrality or uncertainty towards mask-wearing.",1288979662908137473,@CraigCaplan If there’s any human being alive who should be required to wear a mask in public at all times...,0.6868586540222168
6,1,"The individual expresses frustration towards 'anti-maskers' who prioritize freedom over health, suggesting a negative sentiment towards mask-wearing.",1289188471676919808,"See the comments... But some won't be that strict
AND ANOTHER THING... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????
That part has been keeping me up at night as an educator https://t.co/OGnnAm9m2F",0.5522050857543945
7,1,"the individual expresses disapproval and frustration towards mask-wearing and those who advocate for it, indicating an anti-mask attitude",1289188711993733132,"@nytimes some won't be that strict
AND ANOTHER THING that keeps me up at night... The anti maskers, push to open early, protect my freedom not my health people do realize their kids HAVE to follow the rules, no exceptions????",0.533022403717041
8,1,"The individual expresses a negative sentiment about the appearance of a mask, suggesting potential dislike for masks in general.",1289378483290771457,I saw my first mesh face mask in person today and it was every bit as fucking stupid in person as it looked online... if not more in person,0.514427900314331
9,0,"The tweet does not directly express a positive or negative sentiment towards mask wearing, but rather focuses on maintaining appearance while wearing a mask.",1289913883163942913,"What's under your mask?? Don't keep your lipstick game on the bench!

https://t.co/VokcWCGSGz https://t.co/FDEkollfWB",0.5247702598571777
